Final URL,Campaign Name,Ad Group,Ad ID,Ad Type,Issue Description,All-Time Spend,All-Time Conversions
https://naturesseed.com/product/cattle-dairy-cow-pasture-mix-cold-warm-season,Search | Pasture | Exact,Cattle,771352317042,RESPONSIVE_SEARCH_AD,Old URL path (no /products/ prefix): /product/cattle-dairy-cow-pasture-mix-cold-warm-season,4583.98,136.51
https://www.naturesseed.com/,Search | Brand | ROAS,Brand,272079888904,EXPANDED_TEXT_AD,Uses www. subdomain (should be naturesseed.com),1954.36,96.35
https://naturesseed.com/pasture-seed/cattle-pastures/beef-cattle-forage/,Search | Animal Seed (Broad) | ROAS,Cattle,773132599438,RESPONSIVE_SEARCH_AD,Old URL path (no /products/ prefix): /pasture-seed/cattle-pastures/beef-cattle-forage/,1808.16,20.93
https://www.naturesseed.com/,Search | Brand | ROAS,Brand,272079888901,EXPANDED_TEXT_AD,Uses www. subdomain (should be naturesseed.com),1516.56,100.69
https://www.naturesseed.com/,Search | Brand | ROAS,Brand,272079888907,EXPANDED_TEXT_AD,Uses www. subdomain (should be naturesseed.com),1472.48,66.86
https://naturesseed.com/pasture-seed/horse-pastures/,Search | Animal Seed (Broad) | ROAS,Horse,773132599351,RESPONSIVE_SEARCH_AD,Old URL path (no /products/ prefix): /pasture-seed/horse-pastures/,970.72,5.42
https://naturesseed.com/product/sheep-pasture-forage-mix-transitional,Search | Pasture | Exact,Sheep,771352317054,RESPONSIVE_SEARCH_AD,Old URL path (no /products/ prefix): /product/sheep-pasture-forage-mix-transitional,823.25,26.43
https://naturesseed.com/pasture-seed/sheep-pastures/,Search | Animal Seed (Broad) | ROAS,Sheep,773132599198,RESPONSIVE_SEARCH_AD,Old URL path (no /products/ prefix): /pasture-seed/sheep-pastures/,683.26,14.42
https://naturesseed.com/pasture-seed/alpaca-llama-pastures/,Search | Animal Seed (Broad) | ROAS,Alpaca,773132599345,RESPONSIVE_SEARCH_AD,Old URL path (no /products/ prefix): /pasture-seed/alpaca-llama-pastures/,262.31,4.58
https://naturesseed.com/product/alpaca-llama-pasture-forage-mix/,Search | Pasture | Exact,Llama,771352317048,RESPONSIVE_SEARCH_AD,Old URL path (no /products/ prefix): /product/alpaca-llama-pasture-forage-mix/,199.91,17.93
https://naturesseed.com/product/pig-pasture-forage-mix/,Search | Animal Seed (Broad) | ROAS,Pig,773132599426,RESPONSIVE_SEARCH_AD,Old URL path (no /products/ prefix): /product/pig-pasture-forage-mix/,150.83,8
https://naturesseed.com/product/alpaca-llama-pasture-forage-mix/,Search | Animal Seed (Broad) | ROAS,Llama,773132599366,RESPONSIVE_SEARCH_AD,Old URL path (no /products/ prefix): /product/alpaca-llama-pasture-forage-mix/,0,0
https://naturesseed.com/pasture-seed/goat-pastures/,Search | Animal Seed (Broad) | ROAS,Goat,773132599387,RESPONSIVE_SEARCH_AD,Old URL path (no /products/ prefix): /pasture-seed/goat-pastures/,0,0
https://naturesseed.com/pasture-seed/goat-pastures/,Search | Animal Seed (Broad) | ROAS,Goat,773132599390,RESPONSIVE_SEARCH_AD,Old URL path (no /products/ prefix): /pasture-seed/goat-pastures/,0,0
https://naturesseed.com/product/big-game-food-plot-forage-mix/,Search | Animal Seed (Broad) | ROAS,Bison,773132599570,RESPONSIVE_SEARCH_AD,Old URL path (no /products/ prefix): /product/big-game-food-plot-forage-mix/,0,0
