Campaign Name,Ad Group,Keyword Text,Match Type,Quality Score,Last 3M Cost,Last 3M Conversions,Last 3M Revenue,Last 3M ROAS,Status (Money Loser / Winner / Neutral)
Search | Brand | ROAS,Brand,natures seed,EXACT,10,1046.85,93.4,21575.75,20.61,WINNER
Search | Animal Seed (Broad) | ROAS,Cattle,cattle forage seed,BROAD,10,957.72,7.2,1349.77,1.41,Neutral
Search | Animal Seed (Broad) | ROAS,Horse,horse pasture seed mix,BROAD,7,948.54,4.0,615.16,0.65,MONEY LOSER
Search | Animal Seed (Broad) | ROAS,Cattle,cattle grass seed,BROAD,7,760.54,8.5,1296.40,1.70,Neutral
Search | Animal Seed (Broad) | ROAS,Wildflower Seed,wildflower seed,BROAD,7,683.05,10.0,1718.31,2.52,Neutral
Search | Animal Seed (Broad) | ROAS,Cattle,pasture mix for beef cattle,BROAD,,562.74,6.3,886.69,1.58,Neutral
Search | Animal Seed (Broad) | ROAS,White Dutch Clover,white dutch clover seed,BROAD,7,380.94,7.5,774.67,2.03,Neutral
Search | Animal Seed (Broad) | ROAS,Horse,horse pasture seed,BROAD,7,361.68,1.5,920.85,2.55,Neutral
Search | Animal Seed (Broad) | ROAS,Sheep,best grass for sheep,BROAD,7,359.53,4.4,367.66,1.02,Neutral
Search | Animal Seed (Broad) | ROAS,Sheep,sheep forage seed mix,BROAD,10,337.97,1.1,67.03,0.20,MONEY LOSER
Search | Animal Seed (Broad) | ROAS,Horse,pasture seed for horses,BROAD,8,304.75,2.5,575.01,1.89,Neutral
Search | Animal Seed (Broad) | ROAS,Wildflower Seed,bulk california wildflower seeds,BROAD,8,204.79,3.0,444.36,2.17,Neutral
Search | Animal Seed (Broad) | ROAS,White Dutch Clover,dutch clover seed,BROAD,7,204.39,4.0,2103.88,10.29,WINNER
Search | Animal Seed (Broad) | ROAS,Cattle,cow pasture seed,BROAD,8,203.61,3.5,710.98,3.49,Neutral
Search | Animal Seed (Broad) | ROAS,Poultry,seed mix for chickens,BROAD,10,199.17,6.6,520.34,2.61,Neutral
Search | Animal Seed (Broad) | ROAS,Poultry,best pasture grass for chickens,BROAD,,194.94,4.8,241.26,1.24,Neutral
Search | Animal Seed (Broad) | ROAS,Wildflower Seed,best perennial wildflower seed mix,BROAD,7,189.36,2.0,174.33,0.92,MONEY LOSER
Search | Pasture | Exact,Poultry,what to plant for chickens,PHRASE,5,180.35,6.0,804.05,4.46,Neutral
Search | Animal Seed (Broad) | ROAS,Poultry,grass seed for chickens,BROAD,6,172.03,2.7,302.16,1.76,Neutral
Search | Animal Seed (Broad) | ROAS,Alpaca,best pasture grass for alpacas,BROAD,,161.50,5.3,463.96,2.87,Neutral
Search | Animal Seed (Broad) | ROAS,Microclover,microclover seed,BROAD,7,140.16,3.0,291.76,2.08,Neutral
Search | Pasture | Exact,Sheep,pasture grass for sheep,EXACT,10,133.52,0.0,1.06,0.01,MONEY LOSER
Search | Animal Seed (Broad) | ROAS,Cattle,winter pasture seed mix for cattle,BROAD,10,129.32,2.0,952.81,7.37,WINNER
Search | Animal Seed (Broad) | ROAS,Poultry,chicken pasture seed,BROAD,10,123.97,1.5,68.83,0.56,MONEY LOSER
Search | Pasture | Exact,Wildflowers,wildflower seeds,PHRASE,5,121.34,0.0,0.00,0.00,MONEY LOSER
Search | Pasture | Exact,Poultry,chicken pasture seed mix,PHRASE,9,118.71,5.0,287.09,2.42,Neutral
Search | Pasture | Exact,Cattle,pasture grass seed mix,PHRASE,6,112.17,0.9,49.05,0.44,MONEY LOSER
Search | Animal Seed (Broad) | ROAS,Poultry,forage seed mix for chickens,BROAD,7,94.62,1.0,19.99,0.21,MONEY LOSER
Search | Animal Seed (Broad) | ROAS,Alpaca,alpaca pasture seed,BROAD,10,87.07,0.2,18.20,0.21,MONEY LOSER
Search | Pasture | Exact,Poultry,best pasture grass for chickens,PHRASE,7,86.38,4.0,293.90,3.40,Neutral
Search | Brand | ROAS,Brand,naturesseed,EXACT,8,85.84,2.0,492.77,5.74,WINNER
Search | Pasture | Exact,Regional/Lawn,pacific northwest grass seed,PHRASE,7,63.85,1.0,259.90,4.07,Neutral
Search | Pasture | Exact,Poultry,cover crop for chickens,PHRASE,6,63.62,4.0,271.15,4.26,Neutral
Search | Pasture | Exact,Poultry,grass seed for chickens,PHRASE,6,61.75,2.9,77.03,1.25,Neutral
Search | Pasture | Exact,Sheep,pasture grass for sheep,PHRASE,10,40.83,0.0,0.00,0.00,MONEY LOSER
Search | Pasture | Exact,Cattle,livestock pasture seed,PHRASE,8,39.70,2.0,183.98,4.63,Neutral
Search | Pasture | Exact,Sheep,sheep forage seed mix,EXACT,9,37.38,0.0,0.00,0.00,MONEY LOSER
Search | Animal Seed (Broad) | ROAS,Wildflower Seed,arizona wildflower seed mix,BROAD,8,31.74,0.0,0.00,0.00,MONEY LOSER
Search | Animal Seed (Broad) | ROAS,Microclover,bulk micro clover seed,BROAD,7,31.03,0.0,0.00,0.00,MONEY LOSER
Search | Pasture | Exact,Poultry,chicken safe grass seed,PHRASE,6,27.23,0.0,0.00,0.00,MONEY LOSER
Search | Animal Seed (Broad) | ROAS,Pig,pig pasture seed,BROAD,10,25.06,0.0,0.00,0.00,MONEY LOSER
Search | Pasture | Exact,Llama,alpaca grass seed,PHRASE,,24.66,0.0,0.00,0.00,MONEY LOSER
Search | Animal Seed (Broad) | ROAS,White Clover,white clover grass seed,BROAD,6,24.35,0.0,0.00,0.00,MONEY LOSER
Search | Pasture | Exact,Horse,pasture grass seed for horses,PHRASE,6,23.83,0.0,0.00,0.00,MONEY LOSER
Search | Animal Seed (Broad) | ROAS,White Clover,white clover lawn,BROAD,3,21.62,0.0,0.00,0.00,MONEY LOSER
Search | Pasture | Exact,Hay Seed,timothy grass seed,PHRASE,7,20.74,0.0,0.00,0.00,MONEY LOSER
Search | Animal Seed (Broad) | ROAS,White Clover,white clover grass,BROAD,5,20.57,0.0,0.00,0.00,MONEY LOSER
Search | Animal Seed (Broad) | ROAS,Pig,best pasture grass for pigs,BROAD,,19.44,1.0,179.24,9.22,WINNER
Search | Pasture | Exact,Horse,pasture seed for horses,PHRASE,8,18.54,0.0,0.00,0.00,MONEY LOSER
Search | Pasture | Exact,Cattle,drought tolerant pasture grass seed,PHRASE,5,15.38,1.0,31.32,2.04,Neutral
Search | Pasture | Exact,Wildflowers,california wildflower seeds,PHRASE,6,14.29,0.0,0.00,0.00,MONEY LOSER
Search | Pasture | Exact,Wildflowers,california native wildflower seeds,PHRASE,5,10.69,0.0,0.00,0.00,MONEY LOSER
Search | Pasture | Exact,Cattle,texas pasture grass seed,PHRASE,5,3.43,0.0,0.00,0.00,Neutral
Search | Animal Seed (Broad) | ROAS,White Clover,trifolium repens,BROAD,5,2.42,0.0,0.00,0.00,Neutral
Search | Pasture | Exact,Regional/Lawn,northern california grass seed,PHRASE,5,1.91,0.0,0.00,0.00,Neutral
Search | Animal Seed (Broad) | ROAS,Wildflower Seed,red columbine seeds,BROAD,5,1.46,0.0,0.00,0.00,Neutral
Search | Animal Seed (Broad) | ROAS,Pig,pasture mix for pigs,BROAD,10,0.00,0.0,0.00,0.00,Neutral
Search | Brand | ROAS,Brand,natures finest seed,EXACT,,0.00,0.0,0.00,0.00,Neutral
Search | Animal Seed (Broad) | ROAS,Cattle,dairy cow pasture seed,BROAD,10,0.00,0.0,0.00,0.00,Neutral
Search | Animal Seed (Broad) | ROAS,White Clover,white clover plant,BROAD,,0.00,0.0,0.00,0.00,Neutral
Search | Animal Seed (Broad) | ROAS,White Clover,white clover ground cover,BROAD,5,0.00,0.0,0.00,0.00,Neutral
Search | Animal Seed (Broad) | ROAS,Wildflower Seed,beauty beyond belief wildflower seeds,BROAD,5,0.00,0.0,0.00,0.00,Neutral
Search | Pasture | Exact,Clover,california clover seed,PHRASE,,0.00,0.0,0.00,0.00,Neutral
Search | Pasture | Exact,Wildflowers,bulk california wildflower seeds,PHRASE,6,0.00,0.0,0.00,0.00,Neutral
Search | Pasture | Exact,Wildflowers,southern california wildflower seeds,PHRASE,1,0.00,0.0,0.00,0.00,Neutral
Search | Pasture | Exact,Wildflowers,california native seed mix,PHRASE,5,0.00,0.0,0.00,0.00,Neutral
